408234,0.708
456781,0.722
457759,0.463
462101,0.431
467793,0.741
500743,0.568
502054,0.662
502671,0.767
518692,0.666
518934,0.554
521692,0.61
527038,0.562
542303,0.627
542932,0.673
543760,0.63
543807,0.475
545341,0.61
547180,0.654
547989,0.47
553869,0.455
571448,0.371
571771,0.602
572233,0.65
592192,0.776
592206,0.633
592518,0.627
592663,0.609
592696,0.77
592885,0.688
593160,0.626
593428,0.639
596019,0.759
602104,0.907
605137,0.645
605204,0.674
606192,0.834
607043,0.587
607208,0.697
608070,0.381
608324,0.706
608369,0.78
608841,0.581
621020,0.684
621043,0.725
621563,0.605
621566,0.73
623912,0.573
624424,0.575
624428,0.501
630105,0.546
641313,0.489
641355,0.463
641487,0.679
641857,0.73
642086,0.431
642708,0.522
642731,0.623
643217,0.486
643265,0.69
643289,0.719
643446,0.614
643565,0.742
646240,0.737
647304,0.737
650333,0.614
650402,0.609
650490,0.741
650559,0.58
657041,0.433
657077,0.561
658668,0.628
660271,0.653
660670,0.721
660688,0.64
660821,0.874
661388,0.798
663538,0.559
663586,0.6
663624,0.342
663647,0.413
663656,0.551
663837,0.578
663886,0.623
663993,0.766
664023,0.6
664034,0.579
664702,0.526
664761,0.618
664774,0.485
665161,0.781
665489,0.735
665750,0.589
665926,0.545
666135,0.638
666139,0.645
666182,0.626
666397,0.493
666971,0.513
668227,0.733
668715,0.896
668804,0.475
668930,0.562
668939,0.542
669016,0.692
669257,0.613
670032,0.492
671277,0.616
671739,0.613
672284,0.768
672386,0.509
672515,0.652
672580,0.643
672695,0.43
673237,0.644
673357,0.837
673490,0.553
673548,0.678
673962,0.553
677551,0.786
677594,0.657
677649,0.677
677951,0.611
678225,0.634
678662,0.526
680574,0.796
680757,0.57
680776,0.768
680977,0.648
681082,0.475
682928,0.692
682998,0.76
683002,0.616
683011,0.572
683146,0.537
683734,0.645
686823,0.595
807799,0.61
